date,currency,tenor,floating_rate,rate
2025-11-03,AUD,9M,3M BBSW,3.5750000000000415
2025-10-31,AUD,9M,3M BBSW,3.552999999999993
2025-10-30,AUD,9M,3M BBSW,3.554900000000014
2025-10-29,AUD,9M,3M BBSW,3.569600000000017
2025-10-28,AUD,9M,3M BBSW,3.427300000000023
2025-10-27,AUD,9M,3M BBSW,3.435300000000004
2025-10-24,AUD,9M,3M BBSW,3.366399640390267
2025-10-23,AUD,9M,3M BBSW,3.383299999999999
2025-10-22,AUD,9M,3M BBSW,3.358299999999997
2025-10-21,AUD,9M,3M BBSW,3.3684999999999925
2025-10-20,AUD,9M,3M BBSW,3.359800000000037
2025-10-17,AUD,9M,3M BBSW,3.332096350091392
2025-10-16,AUD,9M,3M BBSW,3.339200000000016
2025-10-15,AUD,9M,3M BBSW,3.477999999999986
2025-10-14,AUD,9M,3M BBSW,3.4787000000000177
2025-10-13,AUD,9M,3M BBSW,3.4733000000000214
2025-10-10,AUD,9M,3M BBSW,3.514404370043976
2025-10-09,AUD,9M,3M BBSW,3.512699999999998
2025-10-08,AUD,9M,3M BBSW,3.485500000000001
2025-10-07,AUD,9M,3M BBSW,3.482800000000017
2025-10-03,AUD,9M,3M BBSW,3.483560041954712
2025-10-02,AUD,9M,3M BBSW,3.4723999999999764
2025-10-01,AUD,9M,3M BBSW,3.488591802881876
2025-09-30,AUD,9M,3M BBSW,3.508499999891495
2025-09-29,AUD,9M,3M BBSW,3.464893023669295
2025-09-26,AUD,9M,3M BBSW,3.4908837337569465
2025-09-25,AUD,9M,3M BBSW,3.490179741113265
2025-09-24,AUD,9M,3M BBSW,3.496200000000006
2025-09-23,AUD,9M,3M BBSW,3.387200000000052
2025-09-22,AUD,9M,3M BBSW,3.3992979861122317
2025-09-19,AUD,9M,3M BBSW,3.3709999999999996
2025-09-18,AUD,9M,3M BBSW,3.3683000000000045
2025-09-17,AUD,9M,3M BBSW,3.378800000000003
2025-09-16,AUD,9M,3M BBSW,3.3832000000067417
2025-09-15,AUD,9M,3M BBSW,3.385600306956191
2025-09-12,AUD,9M,3M BBSW,3.399500000104236
2025-09-11,AUD,9M,3M BBSW,3.394700000107321
2025-09-10,AUD,9M,3M BBSW,3.3870000000121836
2025-09-09,AUD,9M,3M BBSW,3.411400000002739
2025-09-08,AUD,9M,3M BBSW,3.38071687540265
2025-09-05,AUD,9M,3M BBSW,3.40370000011824
2025-09-04,AUD,9M,3M BBSW,3.408900000110953
2025-09-03,AUD,9M,3M BBSW,3.420599999968706
2025-09-02,AUD,9M,3M BBSW,3.3808000000034943
2025-09-01,AUD,9M,3M BBSW,3.38110030543043
2025-08-29,AUD,9M,3M BBSW,3.374908202143999
2025-08-28,AUD,9M,3M BBSW,3.367494994740568
2025-08-27,AUD,9M,3M BBSW,3.361600000035693
2025-08-26,AUD,9M,3M BBSW,3.3584999999997924
2025-08-25,AUD,9M,3M BBSW,3.356000000018306
2025-08-22,AUD,9M,3M BBSW,3.365308218743373
2025-08-21,AUD,9M,3M BBSW,3.36281066909374
2025-08-20,AUD,9M,3M BBSW,3.3520000000462615
2025-08-19,AUD,9M,3M BBSW,3.368300000014558
2025-08-18,AUD,9M,3M BBSW,3.362500000015605
2025-08-15,AUD,9M,3M BBSW,3.358914922825874
2025-08-14,AUD,9M,3M BBSW,3.3660152109473476
2025-08-13,AUD,9M,3M BBSW,3.3476000000624695
2025-08-12,AUD,9M,3M BBSW,3.37330000001823
2025-08-11,AUD,9M,3M BBSW,3.4080000000174886
2025-08-08,AUD,9M,3M BBSW,3.404304568891391
2025-08-07,AUD,9M,3M BBSW,3.4077071660624707
2025-08-06,AUD,9M,3M BBSW,3.4115000000541533
2025-08-05,AUD,9M,3M BBSW,3.3998000000182884
2025-08-01,AUD,9M,3M BBSW,3.424300134924142
2025-07-31,AUD,9M,3M BBSW,3.43162172900822
2025-07-30,AUD,9M,3M BBSW,3.419200000069013
2025-07-29,AUD,9M,3M BBSW,3.434500000018538
2025-07-28,AUD,9M,3M BBSW,3.449300000017091
2025-07-25,AUD,9M,3M BBSW,3.440480122007393
2025-07-24,AUD,9M,3M BBSW,3.457798678336915
2025-07-23,AUD,9M,3M BBSW,3.430500000057339
2025-07-22,AUD,9M,3M BBSW,3.410200000019276
2025-07-21,AUD,9M,3M BBSW,3.4089000000184866
2025-07-18,AUD,9M,3M BBSW,3.373675964860841
2025-07-17,AUD,9M,3M BBSW,3.3876098772860344
2025-07-16,AUD,9M,3M BBSW,3.4757000000528198
2025-07-15,AUD,9M,3M BBSW,3.4962999999998625
2025-07-14,AUD,9M,3M BBSW,3.465300000016987
2025-07-11,AUD,9M,3M BBSW,3.429762774642587
2025-07-10,AUD,9M,3M BBSW,3.459301421373769
2025-07-09,AUD,9M,3M BBSW,3.4544000000699753
2025-07-08,AUD,9M,3M BBSW,3.499499999967365
2025-07-07,AUD,9M,3M BBSW,3.32090000001761
2025-07-04,AUD,9M,3M BBSW,3.2776195373154735
2025-07-03,AUD,9M,3M BBSW,3.2743932097514556
2025-07-02,AUD,9M,3M BBSW,3.293700000098117
2025-07-01,AUD,9M,3M BBSW,3.2953102135541945
2025-06-30,AUD,9M,3M BBSW,3.2997038867373605
2025-06-27,AUD,9M,3M BBSW,3.3041291232558527
2025-06-26,AUD,9M,3M BBSW,3.296431243352887
2025-06-25,AUD,9M,3M BBSW,3.308338921673553
2025-06-24,AUD,9M,3M BBSW,3.348100000021307
2025-06-23,AUD,9M,3M BBSW,3.3669000000200717
2025-06-20,AUD,9M,3M BBSW,3.3879089554501114
2025-06-19,AUD,9M,3M BBSW,3.403500000005245
2025-06-18,AUD,9M,3M BBSW,3.4197000000634374
2025-06-17,AUD,9M,3M BBSW,3.3957000000213045
2025-06-16,AUD,9M,3M BBSW,3.398200000021308
2025-06-13,AUD,9M,3M BBSW,3.3817128249659936
2025-06-12,AUD,9M,3M BBSW,3.391300000006022
2025-06-11,AUD,9M,3M BBSW,3.431500000064887
2025-06-10,AUD,9M,3M BBSW,3.4454000000182896
2025-06-06,AUD,9M,3M BBSW,3.448291360086162
2025-06-05,AUD,9M,3M BBSW,3.409599999976578
2025-06-04,AUD,9M,3M BBSW,3.387400000068515
2025-06-03,AUD,9M,3M BBSW,3.396500000021118
2025-06-02,AUD,9M,3M BBSW,3.438799999896886
2025-05-30,AUD,9M,3M BBSW,3.4391238709594396
2025-05-29,AUD,9M,3M BBSW,3.4722227377707275
2025-05-28,AUD,9M,3M BBSW,3.517035313988035
2025-05-27,AUD,9M,3M BBSW,3.444100000021107
2025-05-26,AUD,9M,3M BBSW,3.442799999999667
2025-05-23,AUD,9M,3M BBSW,3.45679145637013
2025-05-22,AUD,9M,3M BBSW,3.469330450862805
2025-05-21,AUD,9M,3M BBSW,3.476717829659253
2025-05-20,AUD,9M,3M BBSW,3.474200000021155
2025-05-19,AUD,9M,3M BBSW,3.625099999988203
2025-05-16,AUD,9M,3M BBSW,3.64385086939219
2025-05-15,AUD,9M,3M BBSW,3.6425910747161656
2025-05-14,AUD,9M,3M BBSW,3.625494347522257
2025-05-13,AUD,9M,3M BBSW,3.602299999999599
2025-05-12,AUD,9M,3M BBSW,3.602000000017972
2025-05-09,AUD,9M,3M BBSW,3.51828150148728
2025-05-08,AUD,9M,3M BBSW,3.505100562922131
2025-05-07,AUD,9M,3M BBSW,3.46430201075105
2025-05-06,AUD,9M,3M BBSW,3.5013000000228276
2025-05-05,AUD,9M,3M BBSW,3.515600000022206
2025-05-02,AUD,9M,3M BBSW,3.5202819812558372
2025-05-01,AUD,9M,3M BBSW,3.4834819349452006
2025-04-30,AUD,9M,3M BBSW,3.493500000004146
2025-04-29,AUD,9M,3M BBSW,3.474600000054342
2025-04-28,AUD,9M,3M BBSW,3.469900000027152
2025-04-24,AUD,9M,3M BBSW,3.45906996730565
2025-04-23,AUD,9M,3M BBSW,3.520699999963078
2025-04-22,AUD,9M,3M BBSW,3.517500000027929
2025-04-17,AUD,9M,3M BBSW,3.488731508452134
2025-04-16,AUD,9M,3M BBSW,3.4957999999072764
2025-04-15,AUD,9M,3M BBSW,3.5179000000318457
2025-04-14,AUD,9M,3M BBSW,3.497700000035195
2025-04-11,AUD,9M,3M BBSW,3.518409381622057
2025-04-10,AUD,9M,3M BBSW,3.468074721733562
2025-04-09,AUD,9M,3M BBSW,3.555800000032943
2025-04-08,AUD,9M,3M BBSW,3.5072000000355175
2025-04-07,AUD,9M,3M BBSW,3.62670000002535
2025-04-04,AUD,9M,3M BBSW,3.6232130141946715
2025-03-28,AUD,9M,3M BBSW,3.8651841156826
2025-03-27,AUD,9M,3M BBSW,3.861921350049883
2025-03-26,AUD,9M,3M BBSW,3.8433632434032994
2025-03-25,AUD,9M,3M BBSW,3.8349399911019146
2025-03-24,AUD,9M,3M BBSW,3.877100000016113
